,train_loss,val_loss,val_roi,val_sharp,val_rank
64,3.178102970123291,3.154374122619629,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
65,3.1780803203582764,3.154405117034912,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
66,3.178069829940796,3.154444932937622,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
67,3.1780667304992676,3.1544525623321533,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
68,3.178039073944092,3.1544814109802246,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
69,3.1780154705047607,3.1544928550720215,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
70,3.1780343055725098,3.1544857025146484,tensor([0.6886]),tensor([5.1375]),tensor([0.5379])
71,3.1779963970184326,3.154501438140869,tensor([0.6889]),tensor([5.1388]),tensor([0.5382])
72,3.1780030727386475,3.154522180557251,tensor([0.6889]),tensor([5.1388]),tensor([0.5382])
73,3.1779894828796387,3.1545159816741943,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
74,3.1779704093933105,3.154541254043579,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
75,3.1779472827911377,3.154538631439209,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
76,3.1779277324676514,3.154554843902588,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
77,3.1779093742370605,3.1545443534851074,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
78,3.1778948307037354,3.1545488834381104,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
79,3.1778721809387207,3.154557466506958,tensor([0.6890]),tensor([5.1507]),tensor([0.5384])
80,0.0,0.0,tensor([0.6980]),tensor([5.2429]),tensor([0.5312])
